piece,pct_50,pct_95,max,mean
Beach_Pastorale:Borealis:Gianopoulos,0.09287981859410430,0.8359183673469390,1.5789569160997700,0.20960715817858700
Beach_Pastorale:Borealis:RSC,0.09287981859410430,1.0216780045351500,1.8575963718820900,0.21964821964822000
Beach_Pastorale:Gianopoulos:RSC,0.09287981859410430,1.207437641723360,2.414875283446710,0.29244591530305800
Mozart_DiesIrae:Abbado_Berlin_SRC:Bernstein_BRSO_BRChorus,0.09287981859410430,0.37151927437641700,0.46439909297052200,0.10517273576097100
Mozart_DiesIrae:Abbado_Berlin_SRC:Schreier_SD_RL,0.09287981859410430,0.2786394557823130,0.46439909297052200,0.09424569827931170
Mozart_DiesIrae:Bernstein_BRSO_BRChorus:Schreier_SD_RL,0.09287981859410430,0.2786394557823130,0.37151927437641700,0.07648926237161530
Mozart_Symphony40_1:Bernstein_Boston:Klemperer_Philharmonia,0.09287981859410430,0.18575963718820900,0.5572789115646260,0.05866093805943430
Mozart_Symphony40_1:Bernstein_Boston:Salemkour_SBerlin,0.09287981859410430,0.8359183673469390,1.8575963718820900,0.1436261856455200
Mozart_Symphony40_1:Klemperer_Philharmonia:Salemkour_SBerlin,0.09287981859410430,1.1145578231292500,3.8080725623582800,0.20833944271108600
Dvořák_StringQuartet12_1:Cleveland:Emerson,0.09287981859410430,0.6501587301587300,1.0216780045351500,0.14195835910121600
Dvořák_StringQuartet12_1:Cleveland:NY,0.09287981859410430,0.5572789115646260,1.1145578231292500,0.16570603999175400
Dvořák_StringQuartet12_1:Emerson:NY,0.09287981859410430,0.46439909297052200,0.9287981859410430,0.11609977324263000
Prokofiev_PianoConcerto1_1:Argerich_OSI:Berman_RCO,0.09287981859410430,0.46439909297052200,1.8575963718820900,0.10296788877848300
Prokofiev_PianoConcerto1_1:Argerich_OSI:Kissin_Berlin,0.09287981859410430,0.37151927437641700,1.6718367346938800,0.11062090753904600
Prokofiev_PianoConcerto1_1:Berman_RCO:Kissin_Berlin,0.09287981859410430,0.46439909297052200,1.3003174603174600,0.09983710837643420
Tchaikovsky_NutcrackerSuite_1:Alphen_SR:Ormandy_Philadelphia,0.0,0.2786394557823130,0.7430385487528350,0.06889437093518730
Tchaikovsky_NutcrackerSuite_1:Alphen_SR:Rostropovich_Berlin,0.0,0.18575963718820900,0.5572789115646260,0.06532207022002940
Tchaikovsky_NutcrackerSuite_1:Ormandy_Philadelphia:Rostropovich_Berlin,0.0,0.09287981859410430,0.46439909297052200,0.05358451072736790